ID,Date,Post
15-1,10/27/2013,"If you tuned into a National Football League game during the last month, you surely noticed that there was pink everywhere, from the gear worn by the players and coaches right down to the penalty flags. The stadiums are pink, the fields are pink. Even the goalposts are pink. The raison d'etre of all this pink is the NFL's annual effort to raise money and awareness as part of National Breast Cancer Awareness Month. But while finding a cure for breast cancer would, of course, be a scientific victory for the ages, it's worth questioning how much good the NFL is actually doing. Is it really advancing the cause or just ""pinkwashing,"" the term used to describe businesses that employ Breast Cancer Awareness Month to bolster their own bottom lines? (The Better Business Bureau actually issued a general warning for consumers to be on the lookout for pinkwashing scams.) According to an analysis by Business Insider, just 8 percent of the money spent on the plethora of pink gear being sold by the NFL actually winds up going towards cancer research at the American Cancer Society, the supposed beneficiary of the league's efforts. Since 2009, when pink first appeared on the field, the NFL has donated a grand total of $4.5 million towards the cause, while the league made $9 billion (that's billion, with a b) in revenue last year alone. As Business Insider's Cork Gaines wrote, ""if the point is to actually help fight cancer, fans would have a much bigger impact if they skipped the NFL and donated directly to the ACS or other organizations working to fight cancer."" But an unclear picture regarding the distribution of funds is not the only reason the NFL's pink October is so maddening. Another is its elevation of one disease to the explicit exclusion of all others. Nothing symbolized that situation more perfectly than Chicago Bears wide receiver Brandon Marshall and his green shoes. Marshall, who has been diagnosed with borderline personality disorder, wanted to wear green kicks during a game on October 10 in support of Mental Health Awareness Week, which ran from October 6 to 12. The NFL fined him $10,500 for violating uniform protocol (a fine which Marshall happily paid and then matched with a donation to charity). The NFL is so pink-centric that one player wearing a pair of shoes for a different cause was seen as something worthy of punishment. Initially, the league even looked to prevent Marshall from playing entirely if he sported the green shoes, before relenting and settling on just a fine. And mental health isn't the only cause steamrolled by the pink NFL juggernaut. ""I was pretty sure we were toast,"" said Rita Smith, the executive director of the National Coalition Against Domestic Violence, upon first seeing the NFL go pink. ""There was no way we were ever gonna match them."" The National Coalition Against Domestic Violence also uses October as its awareness month, with purple being its color of choice. As Ann Friedman noted in New York Magazine, domestic violence will actually affect more women than breast cancer, but attempts to prevent the former are losing fundraising ground to the latter, in large part due to the pinkification of October that gets a serious boost from the NFL's efforts. By focusing solely on breast cancer year after year – and by making its campaign mostly about raising the ever-ambiguous ""awareness"" of the disease, as if something affecting hundreds of thousands of women is somehow a secret – while sending little in the way of real funds towards research, how much good the NFL is doing is an open question. Is all this ""awareness"" actually worth anything? And if it is, why not try to highlight a lesser known set of diseases next year, or perhaps a problem that is not even medical? (Though I will admit, the fact that conservative shock jock Rush Limbaugh is enraged by NFL players wearing pink makes me like the whole thing a bit more.) None of this is meant to diminish the very real horror of breast cancer or to undermine the monumental effort that goes into combating it. Plus, at the end of the day, every dollar the NFL puts towards cancer research is one more dollar that might have gone somewhere else had it not been for the league's efforts. But the evidence seems to show that there's more sound than fury when it comes to the league's actual financial support in the fight against the disease. In the meantime, other worthy causes get buried under an avalanche of pink that mostly lets people feel good about ""supporting"" the quest against breast cancer with minimal time or effort. And that's not good enough, if the ultimate goal is to find a real cure."
16-1,10/7/2011,"After this past Sunday’s football game, a friend asked me if the NFL owned the shade of pink that everyone on the screen seemed to have so prominently displayed. Well, full disclosure, I didn’t watch on and I rarely do watch football – unless a party has been planned around the game, then I’m there, and I will make cupcakes decorated with your team colors and logo. Anyway, apparently everyone from players to coaches to referees was wearing pink to raise awareness of the importance of annual screenings for breast cancer, aka “A Crucial Catch.” I started thinking about the pink ribbon that has been engrained in our subconscious and if anyone owned the design mark. Of course, when you think “pink ribbon” your next thought is “Susan G. Komen.” Susan G. Komen For the Cure was the first to use pink ribbons in connection with breast cancer awareness when the organization handed out pink ribbons to participants in its NYC race for breast cancer survivors in the fall of 1991. It is rumored that the pink ribbon was inspired by the red ribbon for AIDS awareness, and used by Komen “when you couldn’t use the words ‘breast cancer’ in public.” Things of that nature have changed since the ‘90s – thanks Janet Jackson. It is also rumored that the pink ribbon is not owned by anyone, so you can slap the symbol on any product you want in an effort to participate in breast cancer awareness. That last part…it’s a little trickier. Organizations or individuals may have common law trademark rights in the ribbon, but a quick query on the USPTO’s TESS search engine generated 45 records for federal design marks featuring a ribbon and having the words “breast cancer” in the design description. However, all but one of the marks consisted of a word mark in addition to a design mark, such as DE-FEET BREAST CANCER WALK/RUN or LAW OF PINK FIGHTING TOGETHER. No search yielded only a pink ribbon design. A search for live design marks owned by Komen yielded 199 results, the most interesting one of which is this design mark: Komen does not own a design mark for a standalone pink ribbon. Like other organizations, Komen owns pink ribbon design marks that also consist of a word mark. The design mark above is the only mark Komen owns without a word mark combination and that looks similar to the original pink ribbon we all know today. This is the mark Komen currently uses to promote breast cancer awareness, and you can see the mark on several places on their website. So we know where the pink ribbon ownership stands, as least in terms of federal ownership. To answer the original question, the NFL does not own any federally registered marks related to breast cancer awareness – not the color pink and not even the phrase “A Crucial Catch.” Their support, like many organizations in October, is without federal trademark involvement. Even our own building is turning pink."
17-1,10/4/2013,How could anybody be mad about pink? That's the question I first asked myself when I heard of the debate within the breast cancer community over whether the ribbon might be doing more harm than good. (Read Saturday's column if you haven't already)
17-1,10/4/2013,"If you're confused too, here's the cliff notes version of this ongoing saga:"
17-1,10/4/2013,"Everybody knows the pink ribbon has come to represent breast cancer awareness. A woman who loved pink named Susan Goodman Komen died of the disease at just 36 in 1980. Her sister, Nancy Brinker, started a foundation in her name and the pink ribbon was born."
17-1,10/4/2013,"Susan G. Komen for the Cure is now one of the best known charities in the country. But there are many organizations dedicated to detecting, treating and curing breast cancer. And not all of them agree."
17-1,10/4/2013,The main debate centers on the over-diagnosis of breast cancer and what some say are statistics manipulated by the Komen group to lead women to believe that mammograms are the key to saving lives.
17-1,10/4/2013,"Writer Peggy Orenstein wrote an excellent piece called ""Our Feel-Good War on Breast Cancer."" Peggy is a breast cancer survivor and asks whether ""awareness has become more important than saving lives?"""
17-1,10/4/2013,"Author and sociologist Gayle Sulik wrote a book called ""Pink Ribbon Blues"" and keeps a really lively blog by the same name about the topic."
17-1,10/4/2013,"""The harms are partly that the awareness itself has been redefined as visibility for the sake of visibility [and] fundraising,"" Sulik has said. ""A deep awareness of the realities of breast cancer and where we really are in that war on breast cancer has gotten lost in that."""
17-1,10/4/2013,"The National Breast Cancer Coalition has also rebelled against pink. The group is demanding a pathway to curing the disease that kills about 40,000 women and men each year and has set a deadline of 2020. The tag line? ""Toss aside awareness, comfortable and good enough."""
17-1,10/4/2013,"As a consumer, I know one of my main concerns is whether when I buy stuff with the ribbon if my money is really going to help find a cure. (Like the eggs I mentioned in today's column. Yes, apparently even eggs are waging the fight against cancer.)"
17-1,10/4/2013,The pink ribbon is so common now that it can be tough to tell where the genuine heartfelt efforts end and the over-commercialization begins.
17-1,10/4/2013,"I talked about this with Stefanie Steele, executive director of Susan G. Komen Central Florida."
17-1,10/4/2013,"She's heard the sentiments of pink fatigue, but credits the ribbon with helping pave the way for new breast cancer treatments."
17-1,10/4/2013,"""The color pink helped us get to where we are today,"" she told me. ""To me, there can never be too much pink."""
17-1,10/4/2013,"On Sunday an estimated 8,000 people turned out to UCF for the 17th Komen Race for the Cure in Central Florida. This year women are encouraged to run in pink tutus."
17-1,10/4/2013,"Cute, right? But is it helping to cure cancer? Fighting cancer is not as easy as putting on a pink scarf and going to a party."
17-1,10/4/2013,Steele says the need in Central Florida is great. She says 75 percent of the money raised in Central Florida stays here and helps fund grants at local hospitals as well as provide financial support to women who are undergoing treatment and can't pay their bills while they're out of work.
17-1,10/4/2013,"She also has some good advice for your next pink ribbon purchase. If a product doesn't include the name of a specific charity that could be a red flag. Most charities insist on contracts that require their names to be somewhere on the product or packaging. Without that, who knows where your money is going."
17-1,10/4/2013,"Keep in mind, though, that the need for awareness and research for other cancers is just as great. But livers, colons, ovaries and lungs just aren't as fun to hype about as breasts. So many, many families suffer in silence without anyone partying for their cure."
17-1,10/4/2013,"Saturday's column also points out the lack of attention other cancers get compared to breast cancer, especially other gynecological cancers like ovarian cancer. The Ovarian Cancer Alliance of Florida has some great resources with more information."
17-1,10/4/2013,"More questions? Comments? As usual, use the space below."
17-1,10/4/2013,Update: This post incorrectly said Gayle Sulik is a breast cancer survivor and has been corrected.
18-1,6/11/2012,"Between the corporate marketing opportunities and the sheer number of people who want to do something — anything — that might alleviate the suffering they've seen, pink is big business. But somewhere between the first pink ribbon (created in the early 1990s according to Anna Holmes) and the Kentucky Fried Chicken partnership with the Susan G. Komen for the Cure Foundation, pink lost its way. The term ""pinkwashing"" began to show up, along with a campaign called ""think before you pink"". The public is finally pushing back against the relentless merchandising of this disease, as well as the myopic focus on ""awareness"" and the ever-elusive cure. What about preventing cancer through reduction of environmental carcinogens? What about improving quality of life for cancer patients? Today's patients can't prevent their cancers, and they probably won't live to see a cure, either. Enter ""Pink Ribbons Inc."" by Swiss/Canadian filmmaker Léa Pool. The documentary recently opened in New York, Los Angeles, Chicago and Washington D.C., and will soon play other cities. It was made before the Planned Parenthood /Komen controversy. As Washington Post critic Ann Hornaday noted, ""The rhetoric surrounding the disease has become one of enforced cheerfulness, with patients converted into 'survivors' and 'warriors' — the implication being that anyone who dies from it just wasn’t fighting hard enough."" Exactly! Patients already have to carry the discomfort, grief, fear, pain and isolation of their disease. The ""cheer doctrine"" would also have them carry the guilt and shame of failing to cure cancer. Perhaps the first shot across the bow was the groundbreaking 2001 essay ""Welcome to Cancerland"" by breast cancer survivor Barbara Ehrenreich. Ehrenreich looks upon pink teddy bears with disdain, and observes that ""men diagnosed with prostate cancer do not receive gifts of Matchbox cars."" Almost a decade later came Siddhartha Mukherjee’s 2010 Pulitzer-Prize-winning ""The Emperor of All Maladies: A Biography of Cancer."" In an interview with The Guardian, Mukherjee said, ""A positive mental attitude does not cure cancer — any more than a negative mental attitude causes cancer."" I'm living proof that a positive attitude has no effect on cancer recurrence. I'm 10 years in remission from stage III ovarian cancer, and you could not have picked a worse candidate for such a challenge. I've often wished a more mature and optimistic woman could have gotten my cancer instead of me. Someone stronger. Someone happier. But cancer comes not to the woman you should be, but to the woman you are. The more focused and capable women have bad days too, of course, but it seems to me they have more tools in their bags of tricks. One worked tirelessly for a cancer awareness postage stamp and rode a bike across the country to raise funds — while I fantasized about suicide for the sole purpose of wrestling a little control away from the disease (""You can't fire me. I quit!"") As pathetic a coping mechanism as that was, it did get me through the first few years. And while I still don't believe in ghosts, I have become familiar with the concept. Beside me every day is the ghost of the woman I used to be. Then there are the ghosts of women who’ve died. When you live with ghosts, a hot pink boa might be just the ticket. Or a long walk with friends and family. A candle and a prayer. Or a joke. A cancer survivor finds a path, somehow. Limping, cursing, crying, laughing, we go on. Amid all the pink ribbon controversy, one Washington Post reader noted: ""I miss pink being just a color."" I do, too. I also miss peacefully drifting off to sleep. I realize chances are very good that I'll wake up again. But these days I find that I'm like a kid who doesn't want to miss anything. If you find me online at 4 a.m., now you know why."
20-1,10/1/2014,"Earlier this year, while running errands with my lively young son I spotted this sign: “The More of Us Walk, The More of Us Survive.” -Avonwalk.org Naomi_Cancer_Blog_More-of-Us-Who-Walk-Display_300x300 I was 14 when my mom had breast cancer. She made it. I can’t imagine how different my life would be if she hadn’t. Who doesn’t have an aunt, a mom, a cousin, a sister, a wife or a friend who has been touched in some way by breast cancer? And who wouldn’t want to walk – any distance – for an end to this disease? What Avon suggests – joining your friends and family and taking to the streets – feels heroic. Like following in the footsteps of the U.S. civil rights movement. The anti-Vietnam War movement. The fight for women’s equal rights. I’m an active person, both politically and physically, but the fact that this walk is sponsored by a billion-dollar company, Avon, makes me skeptical. They are channeling our collective rage and grief over breast cancer to sell their products. How can they claim that “The More of Us Who Walk, The More of Us Survive” while selling products containing ingredients known to cause breast cancer? How about this instead: “The more of us who work together to block companies from putting toxics in our Stuff in the first place the more of us who will survive”. Buying Stuff with pink ribbons or marching in a walk branded by a multibillion dollar corporation that knowingly hawks products that contain carcinogens isn’t going to prevent me, my friends or family members from getting breast cancer. Instead, let’s push for regulations that get cancer-causing chemicals out of our lotions, soaps, and shampoos. Let’s join together and flex our citizen muscles to make the products that we use everyday healthy and safe. Are you fired up to make change? Want to grow your Citizen Muscles and find others who share your passion? Sign up for Citizen Muscle Boot Camp! Together we can make a difference!"
9-1,2/11/2011,"Yesterday was a first for me--I used my identity as a ""cancer"" patient (or former cancer patient or cancer survivor--so hard to know which phrase is most apropos for me) to illustrate a point I was making in my Asian American lit and theory course. Right now we're reading NYU Law School professor Kenji Yoshino's Covering: The Hidden Assault on Our Civil Rights (click here for the link to the book's website). One of my students asked for a clarification of the key concept of Yoshino's book, namely how covering differs from passing. Now, I'm very comfortable with using myself or elements from my life, especially in terms of my ethnicity, race, and gender, to help illuminate aspects of what I'm teaching--particularly when it's in a class on Asian American subjects. So it wasn't unusual for me to draw from my personal identity to clarify a theoretical concept related to race or identitarian issues. But it was DEFINITELY a first for me to draw from my most recent experiences with cancer. And this is what I said. If, during the middle of my chemotherapy treatments--the period in which I clearly lost my hair due to this treatment--I wore a wig and found myself at a dinner party with a group of people and I never brought up my cancer diagnosis or on-going chemotherapy treatment--if, in fact, when complimented on my new hairstyle, if I simply said thank you or didn't elaborate on the fact that I was wearing a wig, then I would be passing--I would be deliberately hiding my cancer diagnosis and masking the visible effects of my cancer treatment. I would be ""passing"" as a healthy person rather than as a cancer patient. However, if I was open about my cancer diagnosis and my chemotherapy treatment, and the fact that I had lost my hair but then still wore a wig to this dinner party--either to not make others feel uncomfortable from the visible difference I present as a cancer patient or to make myself more comfortable to not be so visibly marked by my cancer--then I'd be ""covering""--there is no denial about the fact that I have cancer, but I would also not draw any attention to my status as a cancer patient. After I gave this example the students nodded their heads, and I moved on with the next phase of my lesson. But it was an odd feeling, realizing that I had just used my cancer as a way to illustrate an intellectual issue in the classroom--that I had so publicly performed my cancer identity for my students. Because what was odd wasn't the insertion of the personal with the professional--as I noted before, I've often used aspects of my identity in making or illustrating a point in the classroom. What was odd was realizing that I had integrated, seemingly seamlessly, the identity of a cancer patient/cancer survivor to the point where I COULD use it as an example in the classroom. Is this an intellectual leap, for me, to accept and recognize the place of cancer in my life--to my sense of self? Is it now a part of my indelible identity in the same way that I think of my gender and race and ethnicity as immutable (even while, of course, recognizing that intellectually I know that these are also social constructs--can I ever turn off the academic in me)? Will I now be the professor who performs her cancer in the classroom or is this a consequence of time--that this experience being so fresh for me becomes yet another recent experience for me to draw from?"
9-2,1/14/2011,"OK, here's a truth. I'm tired. I don't know if I'm more or less tired than I was during chemo and post-surgery. Probably less tired. At least physically it's easier for me to move around. But I *feel* fatigued. On many levels. I think I've downplayed my exhaustion for a few reasons. Primarily I think that I have a hard time accepting that being tired and not having a lot of energy or energy in reserve, which I think is the more accurate description for my condition right now, is part of my new reality. And I think I've been reluctant to accept this because I have been concentrating on being BETTER--on healing and resuming my regular routine and a sense of normalcy. But the truth is, I'm tired a lot. I just don't have the energy that I used to have. And what I mean by this is my life pre-chemo/surgery. My life pre-cancer diagnosis. And my fatigue and exhaustion aren't just physical--it's also mental and emotional. It's a new inability to handle stress in the same way. And a recognition that I need to be as gentle with myself as possible. To really cut myself slack. To not demand too much of myself. In short, I need to learn my limits--my physical limits but also my mental/emotional limits. And this is a hard thing for me to do. I'm normally a very high energy person. And I'm a multitasker who is a perfectionist and who burns the candles at both ends (and sometimes in the middle). I have extraordinarily high (overly high) expectations for myself (and for those close to me, unfortunate at times, I realize) and in general I feel like I should deliver on those expectations. But I can't right now. Pushing myself, something I'm used to doing, is just not an option. I don't have it in me. Case in point: after teaching back-to-back classes yesterday, I canceled my office hours and collapsed on the couch at home, pretty much not getting up until I collapsed in bed (where I promptly fell asleep the minute my head touched my pillow). Normally teaching back-to-back classes and holding office hours would leave me tired, but not ""bone-dead-I'm-going-to-pass-out"" tired. This is my new reality. And it reminds me that teaching takes energy. Emotional and mental energy, in addition to physical energy. I think I forget this because I enjoy teaching and because I've been doing it for so long now that it almost seems like it is second nature to me. But it's work--it takes work to be a good teacher. And I'm not sure how organized or coherent or lively I was yesterday. I know I forgot to share some basic information with my students about their assignments--leading me to follow-up on email. I know that I felt scattered and a bit dis-organized during the first hour of teaching, perhaps a consequence of being out of the classroom for so long. And I know that I was surprised by all of this. Which I shouldn't be. I shouldn't be surprised that teaching is going to be different for me this semester. That my body is different. I am different. And I should be gentle with myself. To not demand too much of myself, especially in these first few weeks back in the classroom. And yet...I'm disappointed. Disappointed in my body for not having more energy. In myself for not being more organized and accomplishing more. Disappointed that I am still healing--that I'm not healed (past tense). It's silly, I know. Healing is something that can't be rushed. And I know that if I were someone else, I would tell me to be more patient and to be gentle and that what I went through was a big deal and I have to learn to limit myself and it's not a failing or an indictment on my character or sense of self. Why do we often become our hardest critics? And is this just because I'm an academic who deconstructs and critiques others for a living? (sigh) Maybe I just need a mantra to get through the next few weeks and months. Be gentle Jen...be gentle Jen. Hopefully I can learn to take my own advice. [Update/Aside: If you saw the post below, you'll see that Matthew and I adopted a new dog, Bella. Unfortunately, we had to return her to her foster mother last week Monday when we realized that Bella had some very aggressive tendencies. Specifically, she tried to attack Bruno 3 times and was also aggressive with our friend's dog, Squirrel. It was a hard decision, but at the end of the day, we feel we made the right choice because we couldn't live with the tension and with the uncertainty of her attacking Bruno. And it's also part of learning my own limits--it wasn't the right time to get another dog because teaching is just about all I can handle right now.]"
9-3,7/6/2012,"It has been a LONG time since I've blogged on NFPR. There have been times, off and on, when I've thought about logging in and sharing a story or insight or observation. There have been moments when I've wanted to write to process what I was going through. Or to record an amusing anecdote. Or to mark an anniversary: The 2nd year anniversary of my cancer diagnosis (which is also, unfortunately, the day after my husband's birthday--it will remain unforgettable for us on many levels). The 2nd year anniversary of my port being put in. The 2nd year anniversary of when I started chemo. But, of course, I didn't. Didn't write about these milestones. Didn't commemorate them. Didn't even note them, in some cases, until after the fact. So why am I back now? Not sure. Maybe because in doing research for a chapter I'm writing on transracial/transnational adoptee blogs, I came across an essay by a theorist who works on narrative and new media, and she was writing about the gendered nature of cancer blogs. And in describing the various ""story-genres"" and purposes for which women wrote about their breast cancer (and all of the blogs she analyzed were breast cancer blogs--at least the ones written by women--she also looked at male bloggers who wrote about a variety of cancers that they were experiencing), I was reminded of my own blog--how useful and helpful it had been for me to have a place to talk about my experiences with cancer. To vent my rage and frustration and anxiety about going making treatment decisions, through chemotherapy, preparing for surgery, living without breasts, and thinking about my mortality. Recently I learned that my ex-husband's stepmother (are you following that chain?) died a year ago from ovarian cancer. She had been a breast cancer survivor. Her ovarian cancer came nearly ten years after her breast cancer diagnosis and seems to have been a result of the chemotherapy and radiation treatment that she underwent. I'm, unfortunately, no longer in touch with my ex-husband or his father/family (I learned about her passing through a mutual friend), but I felt sad and freaked out, both for her/her family and for myself. This is what having cancer does--it makes you selfish. It makes you think and wonder about whether it's going to happen to you. I mean, of course I was sorry about her passing. And it felt weird to learn about her death from someone other than my ex-husband--highlighting the estrangement from a family that I'd been married into for over a decade. But part of my sadness over her passing was also a sadness at wondering whether her fate could be my fate. Would this be my fate in another 8 years. Could I be developing cancer in my ovaries, in my uterus, as a result of the chemotherapy or just because--just because when you have cancer, there is a potential for it to spread to other parts of your body. And uterine and ovarian cancer is so difficult to detect because you can't see or feel the tumor. A week ago I was having drinks with some friends, and someone brought up the fact that she sometimes forgot that I had had cancer. I know what she means--at least, I know why she could forget. I don't talk about it very often--I mean, it doesn't really come up in everyday conversation. And there are few visual reminders. I suppose the most prominent one is that I no longer have breasts, but since I was small to begin with and since I've learned to select clothes that don't enhance my bust (or missing bustline) it's easy to forget that there's a part of me that's missing, especially now that my hair has completely grown back in (and it has grown back thicker and darker than before, if you can believe that--I have less gray hair now than I did pre-cancer--not that I ever had a lot of white hair--I inherited my father's genes for that because he didn't go gray until he turned 50 and then ""poof!"" it was all overnight). So I totally understand why my friend sometimes forgets that I have cancer, and why no one who didn't know me 2 years ago would even wonder about me and whether I'd had breast cancer because I just look like a normal, healthy woman in her early 40s (Matthew would say I look like I'm in my early 30s, but he may be looking at me with eyes of love). But I don't ever forget. And I don't mean because there's ocular evidence everytime I shower and look down at my scars. I mean because I feel like being a person with cancer--having experienced chemotherapy and the various surgeries I had related to my cancer diagnosis--that's now all a part of who I am. I think about being a person with a cancer diagnosis (notice that I still don't feel comfortable calling myself a ""survivor"") in the same way that I think about myself as a woman or as an Asian American. These identities are part of who I am in such a naturalized, almost essentialized (I use that word, hesistantly, since I'm not trying to say that there is an essentialized element or quality to being a woman or being Asian, but perhaps I don't need to be so academically cautious in this space). I've internalized having a cancer diagnosis and going through cancer treatment in the same way that I've internalized the fact that I have an Asian face. These are parts of me that just are and that are unforgettable to me. Anyway, I think it might be time for me to start writing in this space again. I needed some distance from thinking about myself in relation to my cancer. But I might be ready to start exploring some things that I've been thinking about...like what the best thing is about not having breasts (I'll save that for a future post). So if anyone is still reading this blog from its initial startup 2 years ago, thanks for being a loyal reader. And for anyone new, I hope that this blog provides some interesting insights for you, and feel free to leave a comment."
